Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-02-23,175.12,176.04,174.27,175.55,1801579.0,0.0,1.0,175.12,176.04,174.27,175.55,1801579.0
2018-02-22,176.54,176.89,174.99,175.06,1411836.0,0.0,1.0,176.54,176.89,174.99,175.06,1411836.0
2018-02-21,178.0,178.66,175.77,175.77,3269181.0,0.0,1.0,178.0,178.66,175.77,175.77,3269181.0
2018-02-20,178.0,178.69,176.66,178.03,1705057.0,0.0,1.0,178.0,178.69,176.66,178.03,1705057.0
2018-02-16,176.74,178.87,176.63,178.51,2135227.0,0.0,1.0,176.74,178.87,176.63,178.51,2135227.0
2018-02-15,177.28,178.02,175.89,177.17,2269461.0,0.0,1.0,177.28,178.02,175.89,177.17,2269461.0
2018-02-14,177.81,178.57,176.73,176.77,1912793.0,0.0,1.0,177.81,178.57,176.73,176.77,1912793.0
2018-02-13,177.04,178.75,176.82,178.52,2010730.0,0.0,1.0,177.04,178.75,176.82,178.52,2010730.0
2018-02-12,176.58,178.86,175.4,177.38,4541018.0,0.0,1.0,176.58,178.86,175.4,177.38,4541018.0
2018-02-09,178.66,178.85,173.61,176.39,4039244.0,0.0,1.0,178.66,178.85,173.61,176.39,4039244.0
2018-02-08,181.8,181.9,178.0,178.0,3686735.0,0.0,1.0,181.8,181.9,178.0,178.0,3686735.0
2018-02-07,181.49,184.12,181.39,181.49,2048437.0,0.0,1.0,181.49,184.12,181.39,181.49,2048437.0
2018-02-06,179.36,183.51,178.8,182.01,3283397.0,0.0,1.0,179.36,183.51,178.8,182.01,3283397.0
2018-02-05,184.49,185.39,180.78,180.95,2873299.0,0.0,1.0,184.49,185.39,180.78,180.95,2873299.0
2018-02-02,186.7,187.39,184.57,185.0,2185294.0,0.0,1.0,186.7,187.39,184.57,185.0,2185294.0
2018-02-01,186.52,188.85,186.16,187.39,2581854.0,0.0,1.0,186.52,188.85,186.16,187.39,2581854.0
2018-01-31,188.65,190.57,186.82,186.82,3295180.0,0.0,1.0,188.65,190.57,186.82,186.82,3295180.0
2018-01-30,186.26,189.79,185.41,187.89,6406564.0,0.0,1.0,186.26,189.79,185.41,187.89,6406564.0
2018-01-29,192.96,194.4,192.56,193.74,1329796.0,0.0,1.0,192.96,194.4,192.56,193.74,1329796.0
2018-01-26,192.72,193.1,191.56,193.1,2708492.0,0.0,1.0,192.72,193.1,191.56,193.1,2708492.0
